City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hambantota,LK,79.2,overcast clouds,6.1241,81.1185,Bungalow 63
1,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
2,Labuhan,ID,75.29,broken clouds,-6.8844,112.2051,DoubleFAG
3,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
4,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
6,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
7,Oum Hadjer,TD,76.23,light rain,13.2954,19.6966,
8,Majene,ID,77.47,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
9,Faanui,PF,77.9,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,San Jose,US,88.92,few clouds,37.3394,-121.895,The Westin San Jose
11,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
12,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
13,Thayetmyo,MM,75.34,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
14,Pacific Grove,US,79.39,scattered clouds,36.6177,-121.9166,Lovers Point Inn
15,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
16,Atuona,PF,77.22,clear sky,-9.8,-139.0333,Villa Enata
17,Thinadhoo,MV,81.88,overcast clouds,0.5333,72.9333,
18,Acapulco,MX,87.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
19,Gwadar,PK,83.05,broken clouds,25.1216,62.3254,Sadaf Resort
20,Cayenne,GF,85.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
21,Tura,IN,75.74,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
22,Santa Catarina De Tepehuanes,MX,82.94,overcast clouds,25.35,-105.7333,hotel plaza
23,Guerrero Negro,MX,75.78,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
24,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
25,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
27,Takoradi,GH,75.74,overcast clouds,4.8845,-1.7554,Raybow International Hotel
28,Katsuura,JP,78.66,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
29,Jamestown,US,85.01,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Half Moon Bay,US,83.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
31,Poum,NC,76.93,overcast clouds,-20.2333,164.0167,
32,Dingle,PH,76.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
33,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
34,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Kandrian,PG,76.17,overcast clouds,-6.2167,149.55,Kandrian Station
37,Mangai,CD,80.85,overcast clouds,-4.05,19.5333,
38,Sulangan,PH,83.35,broken clouds,11.1373,123.7228,Maia's Beach Resort
39,Bolgatanga,GH,81.63,light rain,10.7856,-0.8514,Mama's Place
40,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
41,Lorengau,PG,81.43,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Avera,US,88.38,overcast clouds,33.194,-82.5271,
43,Samarai,PG,79.92,scattered clouds,-10.6167,150.6667,Nuli Sapi
44,Kaniama,CD,75.25,broken clouds,-7.5667,24.1833,
45,Pueblo Nuevo,MX,75.94,scattered clouds,23.3833,-105.3833,
46,Enna,IT,78.22,clear sky,37.5588,14.2892,Centro Sicilia
47,Marsh Harbour,BS,84.15,clear sky,26.5412,-77.0636,Abaco Beach Resort
48,Itarema,BR,84.43,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
49,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Waddan,LY,85.53,clear sky,29.1614,16.139,محل الشريف محمد العايب
51,Mandapam,IN,81.79,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
52,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
53,Marsa Matruh,EG,78.58,clear sky,31.3525,27.2453,Beau Site
54,Traverse City,US,90.0,few clouds,44.7631,-85.6206,Bayshore Resort
55,Dutse,NG,80.92,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
56,Biak,ID,75.52,broken clouds,-0.9131,122.8766,Penginapan Kim
57,Touros,BR,78.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
58,Namatanai,PG,78.12,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
59,Kutum,SD,84.97,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
60,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
61,Padrauna,IN,82.81,overcast clouds,26.9025,83.9819,Hotel Sky Lark
62,Kieta,PG,76.69,clear sky,-6.2167,155.6333,Uruna Bay Retreat
63,Port Blair,IN,77.04,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
64,Erzin,TR,77.14,clear sky,36.9559,36.2,Artemis Otel
65,Isla Mujeres,MX,82.45,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
66,Lata,PT,75.31,few clouds,40.1629,-8.3327,Casa Maquia
67,Banda Aceh,ID,78.26,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
68,Fougamou,GA,81.34,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
69,Lasa,IT,77.88,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
70,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
71,Bilasipara,IN,81.59,overcast clouds,26.232,90.2347,Inspection Bunglow
72,Caninde De Sao Francisco,BR,78.4,broken clouds,-9.66,-37.7894,Xingó Parque Hotel
73,Broome,US,86.38,few clouds,42.2506,-75.833,Chenango Valley State Park
74,Kloulklubed,PW,82.15,broken clouds,7.0419,134.2556,Storyboard Beach Resort
75,Kasongo-Lunda,CD,83.84,overcast clouds,-6.4667,16.8167,
76,Lakhipur,IN,81.23,overcast clouds,26.0299,90.3041,Rajdhani Hotel
77,Kamarion,GR,78.1,clear sky,36.8,25.8167,Rooms Eleni
78,Santa Cruz De Tenerife,ES,80.58,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
79,Hun,LY,85.75,clear sky,29.1268,15.9477,Alrwasi Hotel
80,Sao Filipe,CV,76.14,overcast clouds,14.8961,-24.4956,Hotel Xaguate
