City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Langsa,4.4683,97.9683,74.07,overcast clouds,96,92,2.77,ID
1,Hambantota,6.1241,81.1185,79.2,overcast clouds,82,95,17.69,LK
2,Sao Joao Da Barra,-21.6403,-41.0511,78.89,clear sky,75,0,13.91,BR
3,San Patricio,28.017,-97.5169,98.17,clear sky,42,4,17.31,US
4,Wanaka,-44.7,169.15,22.17,few clouds,92,23,2.75,NZ
5,Hobart,-42.8794,147.3294,50.25,overcast clouds,84,100,8.05,AU
6,Labuhan,-6.8844,112.2051,75.29,broken clouds,84,55,7.67,ID
7,Mujiayingzi,42.1167,118.7833,66.4,overcast clouds,86,100,3.91,CN
8,Cidreira,-30.1811,-50.2056,66.67,light rain,87,100,4.0,BR
9,Ushuaia,-54.8,-68.3,33.46,sleet,100,100,23.02,AR
10,Pithoragarh,29.5833,80.2167,65.79,light rain,93,100,2.21,IN
11,Vaini,-21.2,-175.2,71.76,few clouds,94,20,6.91,TO
12,Vila Velha,-20.3297,-40.2925,78.75,few clouds,77,20,11.5,BR
13,Rocha,-34.4833,-54.3333,63.28,scattered clouds,75,42,3.89,UY
14,Mataura,-46.1927,168.8643,33.48,few clouds,98,15,2.95,NZ
15,Nanortalik,60.1432,-45.2371,49.01,few clouds,79,17,4.05,GL
16,Nevesinje,43.2586,18.1133,70.92,clear sky,39,0,4.12,BA
17,Gannan,47.9147,123.5031,66.22,light rain,94,70,3.42,CN
18,Chokurdakh,70.6333,147.9167,41.7,overcast clouds,69,100,13.42,RU
19,Kapaa,22.0752,-159.319,80.92,scattered clouds,76,40,12.66,US
20,Hualmay,-11.0964,-77.6139,66.07,scattered clouds,72,31,9.55,PE
21,Ekibastuz,51.6667,75.3667,67.32,scattered clouds,56,33,7.61,KZ
22,Yellowknife,62.456,-114.3525,65.01,overcast clouds,49,90,9.53,CA
23,Hilo,19.7297,-155.09,82.27,overcast clouds,88,100,6.91,US
24,Bathsheba,13.2167,-59.5167,86.61,few clouds,81,20,17.27,BB
25,Albany,42.6001,-73.9662,93.16,clear sky,43,0,1.01,US
26,Punta Arenas,-53.15,-70.9167,41.02,clear sky,70,0,19.57,CL
27,Lavrentiya,65.5833,-171.0,41.41,light rain,90,100,12.77,RU
28,Kodiak,57.79,-152.4072,56.71,clear sky,51,0,6.91,US
29,Oum Hadjer,13.2954,19.6966,76.23,light rain,70,100,18.21,TD
30,Carnarvon,-24.8667,113.6333,63.07,clear sky,65,0,12.73,AU
31,Barrow,71.2906,-156.7887,39.22,mist,87,100,10.36,US
32,New Norfolk,-42.7826,147.0587,49.91,overcast clouds,85,100,1.01,AU
33,Rikitea,-23.1203,-134.9692,72.37,overcast clouds,75,100,9.62,PF
34,Vila Franca Do Campo,37.7167,-25.4333,72.01,overcast clouds,70,98,1.61,PT
35,Hermanus,-34.4187,19.2345,54.81,light rain,74,100,9.44,ZA
36,Marawi,7.9986,124.2928,69.15,overcast clouds,94,100,2.86,PH
37,Bluff,-46.6,168.3333,33.8,few clouds,84,11,6.87,NZ
38,Pangody,65.85,74.4859,46.15,overcast clouds,88,100,4.36,RU
39,Camacha,33.0833,-16.3333,69.22,scattered clouds,64,40,14.97,PT
40,Majene,-3.5403,118.9707,77.47,broken clouds,89,71,11.16,ID
41,Faanui,-16.4833,-151.75,77.9,light rain,74,16,10.0,PF
42,East London,-33.0153,27.9116,68.56,few clouds,42,23,4.47,ZA
43,Pevek,69.7008,170.3133,32.09,overcast clouds,89,100,1.61,RU
44,San Jose,37.3394,-121.895,88.92,few clouds,44,20,6.91,US
45,Provideniya,64.3833,-173.3,46.06,scattered clouds,68,26,9.6,RU
46,Busselton,-33.65,115.3333,58.82,few clouds,78,14,15.73,AU
47,Avarua,-21.2078,-159.775,77.05,few clouds,78,20,9.22,CK
48,Lafia,8.4833,8.5167,74.73,overcast clouds,87,100,3.53,NG
49,Georgetown,5.4112,100.3354,78.73,few clouds,93,20,0.0,MY
50,Thayetmyo,19.3167,95.1833,75.34,overcast clouds,95,100,8.03,MM
51,Kushiro,42.975,144.3747,59.9,light rain,97,100,14.18,JP
52,Pacific Grove,36.6177,-121.9166,79.39,scattered clouds,86,40,12.66,US
53,Husavik,66.0449,-17.3389,51.46,broken clouds,81,51,4.85,IS
54,Ponta Do Sol,32.6667,-17.1,75.7,clear sky,73,3,6.53,PT
55,Khatanga,71.9667,102.5,44.29,overcast clouds,88,100,14.23,RU
56,Atuona,-9.8,-139.0333,77.22,clear sky,76,1,14.74,PF
57,Whitley Bay,55.0397,-1.4471,60.08,broken clouds,83,75,2.3,GB
58,Kitimat,54.0524,-128.6534,67.91,broken clouds,55,78,3.0,CA
59,Thinadhoo,0.5333,72.9333,81.88,overcast clouds,74,100,7.56,MV
60,Tiksi,71.6872,128.8694,47.41,broken clouds,77,64,5.68,RU
61,Bredasdorp,-34.5322,20.0403,55.15,overcast clouds,61,100,8.86,ZA
62,Leshukonskoye,64.8989,45.7622,65.08,few clouds,67,22,6.4,RU
63,Fortuna,40.5982,-124.1573,63.93,few clouds,76,11,1.01,US
64,Batagay,67.6333,134.6333,63.82,light rain,83,100,2.66,RU
65,Faya,18.3851,42.4509,66.72,broken clouds,46,75,3.56,SA
66,Acapulco,16.8634,-99.8901,87.62,overcast clouds,66,100,5.75,MX
67,Yulara,-25.2406,130.9889,56.21,clear sky,39,6,9.37,AU
68,Cape Town,-33.9258,18.4232,58.26,light rain,85,75,9.22,ZA
69,Gwadar,25.1216,62.3254,83.05,broken clouds,83,70,10.78,PK
70,Cayenne,4.9333,-52.3333,85.08,clear sky,11,0,5.75,GF
71,Tura,25.5198,90.2201,75.74,overcast clouds,92,100,2.44,IN
72,Odweyne,9.4092,45.064,74.05,clear sky,50,1,19.24,SO
73,Comodoro Rivadavia,-45.8667,-67.5,42.66,clear sky,33,0,8.05,AR
74,Shitkino,56.3703,98.3543,57.31,overcast clouds,96,100,2.48,RU
75,Richards Bay,-28.783,32.0377,67.44,clear sky,81,0,11.23,ZA
76,Shunyi,40.125,116.6453,71.55,overcast clouds,94,100,8.95,CN
77,Santa Catarina De Tepehuanes,25.35,-105.7333,82.94,overcast clouds,35,86,10.0,MX
78,Qaanaaq,77.484,-69.3632,43.21,light rain,77,99,8.9,GL
79,Klyuchi,52.2667,79.1667,64.24,clear sky,66,3,7.76,RU
80,Vardo,70.3705,31.1107,53.58,scattered clouds,82,40,9.22,NO
81,Guerrero Negro,27.9769,-114.0611,75.78,scattered clouds,59,40,19.55,MX
82,Longyearbyen,78.2186,15.6401,49.84,broken clouds,87,75,5.75,SJ
83,Hasaki,35.7333,140.8333,75.6,clear sky,88,0,18.43,JP
84,Hudson Bay,52.85,-102.3842,71.33,overcast clouds,48,99,7.99,CA
85,Vuktyl,63.8567,57.3094,46.4,few clouds,79,11,4.56,RU
86,Butaritari,3.0707,172.7902,80.98,light rain,78,13,8.97,KI
87,Olafsvik,64.8945,-23.7142,54.0,few clouds,77,13,3.91,IS
88,Arraial Do Cabo,-22.9661,-42.0278,75.06,clear sky,78,0,13.8,BR
89,Takoradi,4.8845,-1.7554,75.74,overcast clouds,76,100,10.2,GH
90,Qaqortoq,60.7167,-46.0333,51.3,scattered clouds,72,26,4.34,GL
91,Port Elizabeth,-33.918,25.5701,60.31,overcast clouds,68,100,5.01,ZA
92,Katsuura,35.1333,140.3,78.66,clear sky,87,0,18.88,JP
93,Deloraine,-41.5333,146.6667,50.36,moderate rain,15,100,1.88,AU
